R3_p,E
-4,-8.066470367
-3.9,-8.154191245
-3.8,-8.233918901
-3.7,-8.305236667
-3.6,-8.367970097
-3.5,-8.422564722
-3.4,-8.469757239
-3.3,-8.510374706
-3.2,-8.545506481
-3.1,-8.576840566
-3,-8.606710041
-2.9,-8.63767766
-2.8,-8.672429164
-2.7,-8.713642766
-2.6,-8.763646527
-2.5,-8.823903803
-2.4,-8.894782312
-2.3,-8.975517749
-2.2,-9.064343045
-2.1,-9.158606341
-2,-9.255062159
-1.9,-9.350584241
-1.8,-9.442185641
-1.7,-9.527092764
-1.6,-9.603047829
-1.5,-9.668507162
-1.4,-9.722411526
-1.3,-9.763990339
-1.2,-9.79259601
-1.1,-9.808011421
-1,-9.810664533
-0.9,-9.801246863
-0.8,-9.780828942
-0.7,-9.751087478
-0.6,-9.714547571
-0.5,-9.674458467
-0.4,-9.634399484
-0.3,-9.597963743
-0.2,-9.568802099
-0.1,-9.549981191
0,-9.543476422
0.1,-9.549981191
0.2,-9.568802099
0.3,-9.597963743
0.4,-9.634399484
0.5,-9.674458467
0.6,-9.714547571
0.7,-9.751087478
0.8,-9.780828942
0.9,-9.801246863
1,-9.810664533
1.1,-9.808011421
1.2,-9.79259601
1.3,-9.763990339
1.4,-9.722411526
1.5,-9.668507162
1.6,-9.603047829
1.7,-9.527092764
1.8,-9.442185641
1.9,-9.350584241
2,-9.255062159
2.1,-9.158606341
2.2,-9.064343045
2.3,-8.975517749
2.4,-8.894782312
2.5,-8.823903803
2.6,-8.763646527
2.7,-8.713642766
2.8,-8.672429164
2.9,-8.63767766
3,-8.606710041
3.1,-8.576840566
3.2,-8.545506481
3.3,-8.510374706
3.4,-8.469757239
3.5,-8.422564722
3.6,-8.367970097
3.7,-8.305236667
3.8,-8.233918901
3.9,-8.154191245
4,-8.066470367