a,b,theta,E,E_p,E_t
6.025413382750805,6.139576008729552,10.0,6.3926,19.1143,-7.959
6.2223749333532465,6.1743056442629385,10.0,-9.4754,16.2071,-10.4724
6.419336483955688,6.209035279796324,10.0,-19.9362,13.5991,-11.7836
6.616298034558129,6.24376491532971,10.0,-26.542,11.2632,-12.2671
6.813259585160571,6.278494550863096,10.0,-30.4566,9.1781,-12.2032
7.010221135763013,6.313224186396482,10.0,-32.5762,7.3181,-11.8031
7.207182686365454,6.347953821929869,10.0,-33.4666,5.6689,-11.2011
7.404144236967896,6.382683457463255,10.0,-33.5168,4.209,-10.4837
7.601105787570337,6.41741309299664,10.0,-33.05,2.926,-9.7255
7.798067338172779,6.452142728530027,10.0,-32.2486,1.8029,-8.9636
7.995028888775221,6.486872364063412,10.0,-31.2002,0.8259,-8.213
5.990683747217418,6.336537559331994,10.0,-19.7456,6.1894,-8.0311
6.18764529781986,6.37126719486538,10.0,-32.433,4.6693,-10.4429
6.384606848422302,6.405996830398766,10.0,-40.116,3.3286,-11.6933
6.581568399024743,6.440726465932152,10.0,-44.2814,2.1541,-12.1474
6.778529949627185,6.475456101465538,10.0,-46.0246,1.1319,-12.0721
6.9754915002296265,6.510185736998924,10.0,-46.1902,0.2477,-11.6714
7.172453050832067,6.54491537253231,10.0,-45.3212,-0.513,-11.0738
7.369414601434509,6.579645008065697,10.0,-43.787,-1.1595,-10.367
7.566376152036951,6.614374643599082,10.0,-41.8958,-1.7063,-9.6208
7.763337702639393,6.649104279132469,10.0,-39.809,-2.1653,-8.8696
7.960299253241835,6.683833914665854,10.0,-37.6092,-2.5454,-8.1296
5.955954111684032,6.533499109934436,10.0,-32.8782,-0.2753,-8.0819
6.152915662286474,6.568228745467822,10.0,-43.54,-0.9594,-10.4053
6.349877212888916,6.602958381001208,10.0,-49.48,-1.5376,-11.6012
6.5468387634913565,6.637688016534594,10.0,-52.1488,-2.0242,-12.0251
6.743800314093798,6.672417652067979,10.0,-52.6102,-2.4281,-11.9385
6.94076186469624,6.707147287601366,10.0,-51.6658,-2.7623,-11.5353
7.137723415298681,6.741876923134752,10.0,-49.8386,-3.0351,-10.9421
7.334684965901123,6.7766065586681385,10.0,-47.4872,-3.254,-10.2448
7.531646516503565,6.811336194201524,10.0,-44.8994,-3.4289,-9.5104
7.7286080671060065,6.84606582973491,10.0,-42.2072,-3.5638,-8.7699
7.925569617708448,6.880795465268296,10.0,-39.4968,-3.666,-8.0412
5.9212244761506465,6.730460660536877,10.0,-38.3818,-2.9517,-8.1196
6.118186026753088,6.765190296070263,10.0,-47.827,-3.1869,-10.3633
6.31514757735553,6.7999199316036485,10.0,-52.7862,-3.3763,-11.5084
6.512109127957971,6.834649567137035,10.0,-54.6632,-3.5236,-11.904
6.709070678560413,6.869379202670421,10.0,-54.489,-3.6359,-11.8043
6.906032229162855,6.904108838203807,10.0,-53.0228,-3.718,-11.3967
7.102993779765296,6.938838473737193,10.0,-50.7778,-3.7757,-10.8066
7.299955330367737,6.9735681092705795,10.0,-48.094,-3.8096,-10.1187
7.496916880970179,7.008297744803965,10.0,-45.2284,-3.824,-9.3951
7.693878431572621,7.043027380337351,10.0,-42.2998,-3.8209,-8.6645
7.890839982175063,7.077757015870738,10.0,-39.405,-3.8033,-7.9496
5.88649484061726,6.927422211139318,10.0,-40.12,-3.7594,-8.1503
6.083456391219702,6.962151846672705,10.0,-48.8804,-3.8002,-10.32
6.280417941822144,6.99688148220609,10.0,-53.3126,-3.8215,-11.4174
6.477379492424585,7.031611117739477,10.0,-54.7864,-3.8246,-11.7843
6.6743410430270265,7.066340753272863,10.0,-54.2984,-3.8102,-11.6695
6.871302593629468,7.1010703888062485,10.0,-52.5916,-3.782,-11.2569
7.068264144231909,7.135800024339635,10.0,-50.1522,-3.7387,-10.6687
7.265225694834351,7.170529659873021,10.0,-47.3264,-3.6842,-9.9895
7.462187245436793,7.205259295406407,10.0,-44.3342,-3.6177,-9.2747
7.659148796039235,7.239988930939793,10.0,-41.3052,-3.5418,-8.5554
7.856110346641676,7.2747185664731795,10.0,-38.3276,-3.4578,-7.853
5.851765205083874,7.12438376174176,10.0,-40.2452,-3.7544,-8.1841
6.048726755686316,7.159113397275147,10.0,-48.5304,-3.7042,-10.2805
6.245688306288757,7.193843032808532,10.0,-52.6014,-3.6415,-11.3296
6.442649856891198,7.2285726683419185,10.0,-53.803,-3.5675,-11.667
6.63961140749364,7.263302303875305,10.0,-53.1132,-3.486,-11.5353
6.836572958096082,7.29803193940869,10.0,-51.2546,-3.3969,-11.1152
7.033534508698523,7.332761574942077,10.0,-48.7198,-3.3023,-10.5288
7.230496059300965,7.367491210475463,10.0,-45.8328,-3.2032,-9.8566
7.427457609903406,7.4022208460088486,10.0,-42.8028,-3.1016,-9.1499
7.624419160505848,7.436950481542235,10.0,-39.7638,-2.9981,-8.4419
7.82138071110829,7.471680117075621,10.0,-36.799,-2.8953,-7.7521
5.817035569550487,7.321345312344202,10.0,-39.5944,-3.3336,-8.2318
6.013997120152929,7.356074947877588,10.0,-47.4696,-3.2364,-10.2492
6.210958670755371,7.390804583410974,10.0,-51.2608,-3.1354,-11.2475
6.407920221357813,7.42553421894436,10.0,-52.274,-3.0326,-11.5522
6.604881771960255,7.460263854477747,10.0,-51.464,-2.9298,-11.4011
6.801843322562696,7.494993490011132,10.0,-49.5402,-2.8257,-10.9722
6.998804873165136,7.5297231255445185,10.0,-46.9978,-2.7247,-10.3871
7.195766423767578,7.564452761077905,10.0,-44.1294,-2.6237,-9.7205
7.39272797437002,7.59918239661129,10.0,-41.142,-2.5272,-9.0219
7.589689524972462,7.633912032144677,10.0,-38.1598,-2.4331,-8.3234
7.786651075574904,7.668641667678063,10.0,-35.2674,-2.3403,-7.6467
5.782305934017102,7.518306862946644,10.0,-38.7266,-2.7579,-8.3027
5.979267484619544,7.55303649848003,10.0,-46.244,-2.6576,-10.2322
6.1762290352219855,7.587766134013416,10.0,-49.8134,-2.5585,-11.1741
6.373190585824426,7.622495769546802,10.0,-50.684,-2.4632,-11.4394
6.570152136426868,7.6572254050801885,10.0,-49.806,-2.3704,-11.2663
6.76711368702931,7.691955040613574,10.0,-47.8746,-2.2801,-10.8286
6.964075237631751,7.72668467614696,10.0,-45.3564,-2.1936,-10.2423
7.161036788234193,7.761414311680347,10.0,-42.538,-2.1102,-9.5794
7.357998338836635,7.796143947213732,10.0,-39.6108,-2.0286,-8.8884
7.554959889439076,7.8308735827471185,10.0,-36.7024,-1.9502,-8.2005
7.751921440041518,7.865603218280505,10.0,-33.8892,-1.8756,-7.5345
5.747576298483716,7.715268413549085,10.0,-38.0556,-2.2218,-8.403
5.944537849086158,7.749998049082471,10.0,-45.2006,-2.1371,-10.2316
6.1414993996886,7.784727684615857,10.0,-48.538,-2.055,-11.107
6.33846095029104,7.819457320149243,10.0,-49.2742,-1.9753,-11.3309
6.535422500893482,7.8541869556826285,10.0,-48.3374,-1.9007,-11.134
6.732384051495924,7.888916591216015,10.0,-46.3882,-1.8267,-10.6837
6.9293456020983655,7.923646226749401,10.0,-43.8902,-1.7565,-10.0943
7.126307152700807,7.958375862282788,10.0,-41.1196,-1.6894,-9.4352
7.323268703303249,7.993105497816173,10.0,-38.2538,-1.6235,-8.7517
7.520230253905691,8.027835133349559,10.0,-35.4092,-1.5596,-8.0725
7.717191804508133,8.062564768882945,10.0,-32.665,-1.4981,-7.4172
5.71284666295033,7.912229964151527,10.0,-37.7006,-1.7797,-8.5353
5.909808213552772,7.946959599684913,10.0,-44.4194,-1.7113,-10.2492
6.106769764155214,7.981689235218298,10.0,-47.4846,-1.6449,-11.0487
6.303731314757655,8.016418870751684,10.0,-48.059,-1.5809,-11.2243
6.500692865360096,8.05114850628507,10.0,-47.0344,-1.5188,-10.9992
6.697654415962538,8.085878141818457,10.0,-45.0628,-1.4586,-10.5364
6.894615966564979,8.120607777351843,10.0,-42.578,-1.4028,-9.9431
7.091577517167421,8.15533741288523,10.0,-39.8388,-1.3476,-9.2859
7.288539067769863,8.190067048418616,10.0,-37.027,-1.2949,-8.6093
7.4855006183723045,8.224796683952,10.0,-34.2492,-1.2454,-7.9396
7.682462168974746,8.259526319485387,10.0,-31.569,-1.1971,-7.2937
5.678117027416944,8.109191514753968,10.0,-37.6378,-1.4197,-8.6996
5.8750785780193855,8.143921150287355,10.0,-43.8624,-1.3652,-10.283
6.072040128621827,8.178650785820741,10.0,-46.613,-1.3119,-10.9973
6.269001679224268,8.213380421354126,10.0,-46.9966,-1.2617,-11.1183
6.46596322982671,8.248110056887512,10.0,-45.8768,-1.2122,-10.8631
6.662924780429152,8.282839692420898,10.0,-43.8686,-1.1651,-10.3846
6.859886331031593,8.317569327954285,10.0,-41.3778,-1.1187,-9.7851
7.0568478816340345,8.352298963487671,10.0,-38.6754,-1.0755,-9.1311
7.253809432236476,8.387028599021058,10.0,-35.911,-1.0341,-8.4607
7.450770982838918,8.421758234554442,10.0,-33.1908,-0.9946,-7.8004
7.64773253344136,8.456487870087829,10.0,-30.5746,-0.9557,-7.1658
6.333500241035242,4.181719107831913,15.0,1947.5752,967.8704,2.9586
6.526685406293056,4.2334829168524175,15.0,1795.8094,906.6401,-4.3677
6.719870571550869,4.285246725872922,15.0,1662.972,849.3718,-8.9429
6.9130557368086825,4.337010534893426,15.0,1544.3554,795.2195,-11.5209
7.106240902066497,4.38877434391393,15.0,1436.1308,743.4814,-12.708
7.29942606732431,4.440538152934434,15.0,1335.3464,693.6046,-12.9657
7.492611232582124,4.492301961954938,15.0,1239.7012,645.1838,-12.6666
7.685796397839937,4.544065770975442,15.0,1147.681,597.9771,-12.0683
7.878981563097753,4.5958295799959465,15.0,1058.5764,551.8998,-11.3058
8.072166728355565,4.647593389016451,15.0,972.1846,507.0309,-10.4693
8.265351893613378,4.699357198036955,15.0,888.614,463.5636,-9.6283
6.281736432014738,4.374904273089728,15.0,1523.5936,757.1426,2.3271
6.474921597272552,4.426668082110231,15.0,1394.265,706.8123,-4.8399
6.668106762530365,4.478431891130736,15.0,1278.8606,658.0323,-9.301
6.861291927788178,4.530195700151239,15.0,1173.8856,610.5152,-11.7862
7.054477093045993,4.581959509171744,15.0,1076.6466,564.1331,-12.9049
7.247662258303806,4.6337233181922475,15.0,985.375,518.9249,-13.1187
7.44084742356162,4.6854871272127525,15.0,898.9696,475.0588,-12.787
7.634032588819433,4.737250936233256,15.0,816.8786,432.7703,-12.1655
7.827217754077249,4.789014745253761,15.0,738.9438,392.2603,-11.3942
8.020402919335062,4.840778554274264,15.0,665.0728,353.6404,-10.552
8.213588084592875,4.892542363294769,15.0,595.2626,317.0359,-9.7023
6.229972622994234,4.56808943834754,15.0,1159.5668,576.451,1.6662
6.423157788252047,4.619853247368045,15.0,1040.5926,530.9155,-5.3096
6.616342953509861,4.671617056388548,15.0,934.799,486.6687,-9.6346
6.809528118767674,4.723380865409053,15.0,839.79,443.9338,-12.0194
7.002713284025488,4.775144674429557,15.0,753.604,402.9328,-13.0654
7.195898449283302,4.826908483450062,15.0,674.6568,363.7992,-13.2354
7.389083614541116,4.878672292470565,15.0,601.754,326.6304,-12.8767
7.5822687797989285,4.93043610149107,15.0,534.456,291.7034,-12.2377
7.775453945056745,4.982199910511573,15.0,472.8908,259.3606,-11.4576
7.968639110314557,5.033963719532078,15.0,416.9894,229.7205,-10.6129
8.16182427557237,5.085727528552582,15.0,366.367,202.7011,-9.7588
6.17820881397373,4.761274603605354,15.0,831.4808,413.74,1.0002
6.371393979231543,4.8130384126258585,15.0,725.1614,374.0979,-5.7586
6.564579144489357,4.864802221646363,15.0,633.0332,336.3854,-9.9344
6.75776430974717,4.916566030666867,15.0,552.7908,300.8206,-12.2126
6.950949475004984,4.968329839687371,15.0,482.7778,267.7617,-13.1864
7.144134640262798,5.020093648707875,15.0,421.545,237.3999,-13.3137
7.337319805520612,5.071857457728379,15.0,367.6462,209.6919,-12.9344
7.530504970778424,5.123621266748883,15.0,319.8672,184.4992,-12.2828
7.72369013603624,5.1753850757693876,15.0,277.3528,161.6706,-11.4971
7.916875301294053,5.227148884789892,15.0,239.5042,141.0569,-10.6524
8.110060466551865,5.278912693810396,15.0,205.8372,122.5164,-9.7989
6.126445004953226,4.954459768863169,15.0,554.148,276.3566,0.3587
6.319630170211039,5.006223577883672,15.0,465.8486,245.2705,-6.1731
6.5128153354688525,5.057987386904177,15.0,392.967,216.8627,-10.1896
6.706000500726666,5.10975119592468,15.0,332.577,191.0109,-12.3612
6.89918566598448,5.161515004945185,15.0,282.0676,167.5634,-13.2648
7.0923708312422935,5.2132788139656885,15.0,239.325,146.3715,-13.3545
7.285555996500108,5.2650426229861935,15.0,202.7456,127.2892,-12.9582
7.47874116175792,5.316806432006697,15.0,171.144,110.174,-12.301
7.671926327015736,5.368570241027202,15.0,143.714,94.885,-11.514
7.865111492273549,5.420334050047705,15.0,119.877,81.2809,-10.6712
8.058296657531361,5.47209785906821,15.0,99.173,69.2269,-9.8202
6.074681195932722,5.147644934120981,15.0,346.3192,173.6186,-0.2295
6.267866361190535,5.199408743141486,15.0,277.5438,151.8379,-6.533
6.461051526448348,5.251172552161989,15.0,222.849,132.2037,-10.3896
6.654236691706162,5.3029363611824945,15.0,179.3226,114.5743,-12.4565
6.847421856963976,5.354700170202998,15.0,144.425,98.8099,-13.2987
7.040607022221789,5.406463979223503,15.0,116.1082,84.7681,-13.357
7.233792187479604,5.458227788244006,15.0,92.8206,72.3129,-12.9513
7.426977352737416,5.509991597264511,15.0,73.446,61.3074,-12.2922
7.620162517995232,5.561755406285014,15.0,57.2066,51.6201,-11.5084
7.813347683253045,5.613519215305519,15.0,43.564,43.1206,-10.6693
8.006532848510858,5.665283024326023,15.0,32.0818,35.6877,-9.8234
6.0229173869122175,5.340830099378795,15.0,202.7832,102.859,-0.7337
6.216102552170031,5.3925939083992995,15.0,149.4618,88.3701,-6.8196
6.409287717427844,5.444357717419804,15.0,108.9066,75.5035,-10.5251
6.602472882685658,5.496121526440308,15.0,78.252,64.1218,-12.4979
6.795658047943472,5.547885335460812,15.0,55.036,54.094,-13.288
6.988843213201285,5.599649144481316,15.0,37.2844,45.2884,-13.3231
7.1820283784590995,5.65141295350182,15.0,23.5134,37.5815,-12.9124
7.375213543716912,5.703176762522324,15.0,12.6784,30.8572,-12.259
7.568398708974728,5.754940571542829,15.0,4.0926,25.0065,-11.4801
7.7615838742325405,5.806704380563333,15.0,-2.7328,19.932,-10.6492
7.954769039490353,5.858468189583837,15.0,-8.1572,15.543,-9.8108
5.971153577891713,5.534015264636609,15.0,108.8026,56.6551,-1.1269
6.164338743149527,5.585779073657113,15.0,67.0046,47.5353,-7.0165
6.35752390840734,5.637542882677617,15.0,36.7398,39.5455,-10.5878
6.550709073665153,5.689306691698121,15.0,15.2094,32.5679,-12.4816
6.743894238922968,5.741070500718625,15.0,0.0626,26.4945,-13.2316
6.937079404180781,5.7928343097391295,15.0,-10.5754,21.2207,-13.2542
7.130264569438595,5.844598118759634,15.0,-18.07,16.6568,-12.8459
7.323449734696408,5.896361927780138,15.0,-23.3614,12.7193,-12.2
7.516634899954224,5.948125736800642,15.0,-27.0576,9.3336,-11.4312
7.709820065212036,5.999889545821146,15.0,-29.5736,6.4352,-10.611
7.903005230469849,6.05165335484165,15.0,-31.2002,3.9663,-9.7832
5.919389768871209,5.727200429894422,15.0,50.531,28.0397,-1.3871
6.1125749341290225,5.778964238914927,15.0,16.6868,22.5608,-7.1087
6.305760099386836,5.83072804793543,15.0,-6.656,17.815,-10.5715
6.498945264644649,5.8824918569559355,15.0,-22.1876,13.7176,-12.4057
6.6921304299024635,5.934255665976439,15.0,-32.1508,10.1908,-13.1331
6.885315595160277,5.986019474996944,15.0,-38.2714,7.1683,-13.152
7.078500760418091,6.037783284017447,15.0,-41.8384,4.5884,-12.7538
7.271685925675904,6.089547093037952,15.0,-43.6832,2.403,-12.1223
7.46487109093372,6.141310902058455,15.0,-44.325,0.5669,-11.3647
7.658056256191532,6.19307471107896,15.0,-44.1446,-0.9569,-10.5577
7.851241421449345,6.244838520099464,15.0,-43.3684,-2.203,-9.7406
5.867625959850705,5.920385595152236,15.0,16.17,11.0838,-1.4994
6.060811125108518,5.9721494041727405,15.0,-12.494,7.9314,-7.0892
6.253996290366332,6.023913213193245,15.0,-31.421,5.2393,-10.4749
6.447181455624145,6.075677022213749,15.0,-43.1954,2.9517,-12.2747
6.640366620881959,6.127440831234253,15.0,-49.9278,1.0265,-12.9952
6.833551786139773,6.179204640254757,15.0,-53.2462,-0.5775,-13.0228
7.026736951397587,6.230968449275261,15.0,-54.3496,-1.8944,-12.6402
7.2199221166553995,6.282732258295765,15.0,-54.0086,-2.9567,-12.0238
7.4131072819132156,6.33449606731627,15.0,-52.7156,-3.7926,-11.2826
7.606292447171028,6.386259876336774,15.0,-50.8246,-4.4323,-10.49
7.7994776124288405,6.438023685357278,15.0,-48.5506,-4.9057,-9.6848
5.815862150830201,6.113570760410051,15.0,-2.8296,1.51,-1.4624
6.009047316088014,6.165334569430555,15.0,-28.1878,-0.1775,-6.9582
6.202232481345828,6.217098378451059,15.0,-44.3416,-1.5684,-10.3012
6.395417646603641,6.268862187471563,15.0,-53.758,-2.6946,-12.0922
6.588602811861455,6.320625996492067,15.0,-58.4684,-3.5888,-12.8227
6.781787977119269,6.372389805512571,15.0,-60.0388,-4.2786,-12.8704
6.974973142377083,6.4241536145330755,15.0,-59.6198,-4.7941,-12.5079
7.168158307634895,6.47591742355358,15.0,-57.9668,-5.1616,-11.9109
7.361343472892711,6.527681232574084,15.0,-55.564,-5.4074,-11.1873
7.554528638150524,6.579445041594588,15.0,-52.7508,-5.5548,-10.4103
7.747713803408336,6.631208850615092,15.0,-49.7168,-5.6244,-9.617
5.764098341809697,6.306755925667863,15.0,-11.8932,-3.3706,-1.288
5.95728350706751,6.358519734688367,15.0,-35.1284,-4.1118,-6.7262
6.1504686723253235,6.410283543708871,15.0,-49.5804,-4.6706,-10.0598
6.343653837583137,6.462047352729376,15.0,-57.6132,-5.075,-11.8658
6.536839002840951,6.51381116174988,15.0,-61.194,-5.3516,-12.6227
6.7300241680987645,6.565574970770384,15.0,-61.8412,-5.5234,-12.6986
6.923209333356579,6.617338779790888,15.0,-60.6734,-5.6131,-12.3618
7.116394498614391,6.669102588811392,15.0,-58.4096,-5.6338,-11.7855
7.309579663872207,6.720866397831896,15.0,-55.5324,-5.6024,-11.0819
7.50276482913002,6.7726302068524005,15.0,-52.333,-5.5265,-10.32
7.695949994387832,6.824394015872905,15.0,-48.9908,-5.4168,-9.5393
5.712334532789193,6.499941090925677,15.0,-14.5798,-5.2895,-1.0002
5.905519698047006,6.5517048999461815,15.0,-36.6284,-5.4864,-6.4139
6.098704863304819,6.603468708966686,15.0,-50.2522,-5.5961,-9.765
6.291890028562633,6.65523251798719,15.0,-57.6948,-5.6338,-11.6068
6.485075193820447,6.706996327007694,15.0,-60.844,-5.6156,-12.4032
6.67826035907826,6.758760136028198,15.0,-61.1588,-5.551,-12.5142
6.871445524336075,6.810523945048702,15.0,-59.7204,-5.4488,-12.2057
7.064630689593887,6.862287754069206,15.0,-57.2406,-5.3177,-11.6513
7.257815854851703,6.914051563089711,15.0,-54.1906,-5.1609,-10.9672
7.451001020109516,6.965815372110215,15.0,-50.8544,-4.9854,-10.2209
7.644186185367328,7.017579181130719,15.0,-47.403,-4.7947,-9.4534
5.660570723768688,6.693126256183491,15.0,-13.7996,-5.6256,-0.6371
5.853755889026502,6.744890065203995,15.0,-35.3442,-5.5717,-6.0502
6.046941054284315,6.796653874224499,15.0,-48.711,-5.4801,-9.4377
6.2401262195421285,6.848417683245003,15.0,-56.0254,-5.3547,-11.329
6.433311384799943,6.900181492265507,15.0,-59.0982,-5.2055,-12.1718
6.626496550057756,6.9519453012860115,15.0,-59.354,-5.0336,-12.3217
6.81968171531557,7.003709110306516,15.0,-57.8628,-4.8474,-12.042
7.012866880573383,7.05547291932702,15.0,-55.3434,-4.6499,-11.5109
7.206052045831199,7.107236728347524,15.0,-52.2742,-4.4461,-10.8455
7.3992372110890114,7.159000537368028,15.0,-48.9392,-4.241,-10.1143
7.592422376346824,7.210764346388532,15.0,-45.5156,-4.0366,-9.3606
6.457623631321566,4.478738330846899,20.0,645.185,308.8317,6.8804
6.645562155478748,4.547142359512033,20.0,533.484,269.6078,-1.4329
6.83350067963593,4.615546388177167,20.0,439.6176,233.5746,-6.8829
7.02143920379311,4.6839504168423005,20.0,361.0318,200.9415,-10.2128
7.209377727950294,4.752354445507434,20.0,295.3278,171.6727,-12.0044
7.397316252107474,4.8207584741725675,20.0,240.2618,145.5695,-12.7193
7.585254776264658,4.889162502837702,20.0,193.9198,122.4173,-12.7287
7.7731933004218385,4.957566531502835,20.0,154.8336,102.015,-12.2991
7.961131824579019,5.025970560167969,20.0,121.8458,84.1667,-11.6219
8.149070348736203,5.094374588833103,20.0,94.0044,68.6682,-10.833
8.337008872893383,5.162778617498237,20.0,70.5928,55.3156,-10.0096
6.389219602656432,4.666676855004081,20.0,440.6282,208.8585,5.7278
