R3_t,E
-4,-9.809856927
-3.9,-9.761147091
-3.8,-9.759839988
-3.7,-9.811706199
-3.6,-9.919903356
-3.5,-10.0848475
-3.4,-10.30339856
-3.3,-10.56915093
-3.2,-10.87235811
-3.1,-11.20014487
-3,-11.53716229
-2.9,-11.86653978
-2.8,-12.17070705
-2.7,-12.43300309
-2.6,-12.63898639
-2.5,-12.77721743
-2.4,-12.84104398
-2.3,-12.82943881
-2.2,-12.74671793
-2.1,-12.60288386
-2,-12.41181459
-1.9,-12.19004252
-1.8,-11.9554592
-1.7,-11.72618462
-1.6,-11.5198769
-1.5,-11.35152914
-1.4,-11.23317448
-1.3,-11.17381517
-1.2,-11.17865453
-1.1,-11.24965729
-1,-11.38507018
-0.9,-11.57882142
-0.8,-11.8213327
-0.7,-12.0994671
-0.6,-12.3970474
-0.5,-12.6959279
-0.4,-12.97656355
-0.3,-13.21935407
-0.2,-13.40696576
-0.1,-13.52541894
0,-13.56526582
0.1,-13.52541894
0.2,-13.40696576
0.3,-13.21935407
0.4,-12.97656355
0.5,-12.6959279
0.6,-12.3970474
0.7,-12.0994671
0.8,-11.8213327
0.9,-11.57882142
1,-11.38507018
1.1,-11.24965729
1.2,-11.17865453
1.3,-11.17381517
1.4,-11.23317448
1.5,-11.35152914
1.6,-11.5198769
1.7,-11.72618462
1.8,-11.9554592
1.9,-12.19004252
2,-12.41181459
2.1,-12.60288386
2.2,-12.74671793
2.3,-12.82943881
2.4,-12.84104398
2.5,-12.77721743
2.6,-12.63898639
2.7,-12.43300309
2.8,-12.17070705
2.9,-11.86653978
3,-11.53716229
3.1,-11.20014487
3.2,-10.87235811
3.3,-10.56915093
3.4,-10.30339856
3.5,-10.0848475
3.6,-9.919903356
3.7,-9.811706199
3.8,-9.759839988
3.9,-9.761147091
4,-9.809856927